,0
v_t0.05_11_4,1.3116583387974442e-29
b1_t0.1_10_1,1.3977981567463413e-29
h1_n_b_l_t0.95_10_7,1.4038418488046466e-29
h0_t_d_11_7,1.6756498431412849e-29
sep_11_4,1.776876997685143e-29
k_t0.025_11_11,1.8249271507160134e-29
h1_n_b_m_t0.25_9_5,1.8559777905421034e-29
h1_nb_9_5,1.8559777905421034e-29
next_11_6,1.864397405752007e-29
h0_n_d_m_t0.5_9_11,2.0470257945566673e-29
e_t0.05_10_4,2.2585805132749345e-29
v_t0.75_11_4,2.3754617929788941e-29
b0_t0.75_10_6,2.3989496480174656e-29
c_t0.05_11_3,2.4060526108966581e-29
h1_s_11_4,2.5038204569648282e-29
b0_t0.5_9_11,2.5594594055010255e-29
h1_t_b_10_6,2.7026293613474526e-29
sep_10_7,2.7801368262121816e-29
h0_s_10_6,2.887886681792088e-29
h1_v_11_1,2.936958869648321e-29
m_t0.75_11_2,3.224884492381765e-29
m_t0.025_11_3,3.228344429113803e-29
h1_e_11_7,3.699550773423642e-29
v_t0.025_11_6,3.7929619965315975e-29
k_t0.1_11_10,4.8805884492575353e-29
h0_t_d_10_4,5.393400081420922e-29
k_t0.1_10_10,5.617103280951852e-29
v_t0.025_11_3,5.707430039119474e-29
h0_s_10_10,5.919435752267214e-29
v_t0.5_10_10,6.319229655742952e-29
h1_t_b_11_6,6.408960686541743e-29
b1_t0.05_10_1,6.993381762079099e-29
m_t0.05_11_6,7.068919755674117e-29
h1_s_10_7,7.275310043706052e-29
h1_s_11_2,7.779172346513893e-29
h1_e_11_10,9.622754134387036e-29
k_t0.1_11_1,1.0948000293423907e-28
b0_t0.75_10_10,1.112182059382878e-28
h1_s_9_5,1.3088363643179421e-28
e_t0.1_10_4,1.3630642524401772e-28
v_t0.75_11_10,1.3693511030311598e-28
h1_v_10_7,1.3968426275569033e-28
v_t0.1_11_6,1.606754630961541e-28
c_t0.025_10_6,1.6293471152184426e-28
h1_n_b_l_t0.95_9_5,1.6896643612516334e-28
h0_s_10_1,1.6933547929724524e-28
