,0
m_t0.1_11_11,1.2041785981704379e-08
e_t0.25_10_3,1.260577560752539e-08
c_t0.1_11_2,1.2684196094596859e-08
c_t0.1_10_8,1.3040935721686313e-08
v_t0.75_10_3,1.3207183668855976e-08
e_t0.05_11_7,1.3623111739627525e-08
v_t0.05_10_5,1.3759330371429076e-08
k_t0.1_10_10,1.4130011242846138e-08
v_t0.1_11_7,1.54348991543232e-08
e_t0.25_10_2,1.6694776047361903e-08
e_t0.5_11_0,1.7455887948871836e-08
e_t0.1_11_5,1.8211591692067935e-08
b1_t0.025_11_3,1.864772289206196e-08
h1_n_b_l_t0.95_8_9,1.9181877012006196e-08
e_t0.25_10_8,2.0703809784498996e-08
s_t0.05_10_9,2.1208986546096458e-08
v_t0.05_10_10,2.1644859766476912e-08
h1_t_b_11_1,2.215116748333517e-08
e_t0.75_10_3,2.346997326953477e-08
e_t0.1_11_6,2.5571638748456748e-08
c_t0.75_10_7,2.6816019119644896e-08
b1_t0.75_10_7,2.6816019119644896e-08
k_t0.1_11_9,2.706832155915001e-08
e_t0.25_10_5,2.974026969691547e-08
e_t0.05_11_2,2.981421067714555e-08
e_t0.5_10_11,3.1470767515010735e-08
h1_s_11_3,3.2296420058163676e-08
s_t0.1_9_11,4.1495167802500904e-08
v_t0.75_10_2,4.165118464601098e-08
h1_n_b_l_t0.95_9_11,4.217749561151969e-08
next_10_3,4.4325275522442987e-08
v_t0.5_11_0,4.50783970937522e-08
k_t0.1_8_9,4.612461848520369e-08
s_t0.025_10_0,4.8685208458461634e-08
beginning_10_2,4.9892186408765766e-08
c_t0.025_9_2,5.046401090153231e-08
dot_9_3,5.598820580811418e-08
sep_7_1,5.763579853530245e-08
sep_8_6,6.019171571286954e-08
m_t0.5_10_0,6.159958516049497e-08
h1_n_b_m_t0.25_7_0,6.462949445682918e-08
h1_nb_7_0,6.462949445682918e-08
h1_n_b_l_t0.95_10_7,6.559700391136171e-08
c_t0.5_11_9,7.367682231739945e-08
b1_t0.5_11_9,7.367682231739945e-08
s_t0.05_10_8,7.89520358945523e-08
h1_v_7_0,7.959518584499411e-08
k_t0.25_11_7,8.60622974825467e-08
prev_7_10,8.696880582501804e-08
v_t0.05_11_3,8.792805566148372e-08
e_t0.05_10_3,9.124509512819664e-08
h1_n_b_m_t0.25_11_1,9.925160959982048e-08
h1_nb_11_1,9.925160959982048e-08
m_t0.25_11_10,1.0557945261596672e-07
next_11_11,1.0727168140189738e-07
h1_v_9_11,1.0944736222322439e-07
prev_9_1,1.1185108418429923e-07
h1_n_b_l_t0.95_11_1,1.2186208246388447e-07
h1_s_10_7,1.2220609726977852e-07
dot_11_4,1.331814199977992e-07
v_t0.75_10_7,1.37611060608811e-07
s_t0.025_8_0,1.4029351068563312e-07
m_t0.75_8_0,1.4342070785456897e-07
sep_10_11,1.461438556527021e-07
m_t0.5_10_11,1.5067140168911259e-07
e_t0.05_11_0,1.566419486756159e-07
h0_n_d_m_t0.75_11_2,1.5778417561730732e-07
v_t0.025_10_5,1.6643177026975228e-07
b0_t0.25_11_2,1.6793893004383582e-07
m_t0.25_10_10,1.7923026690416435e-07
h1_s_7_0,1.8740219327718395e-07
v_t0.05_7_11,1.8989213918547676e-07
h1_e_11_2,1.9389209171524112e-07
c_t0.1_9_7,2.1107580303170222e-07
beginning_10_3,2.1805499724234422e-07
s_t0.05_10_5,2.2770782908764878e-07
e_t0.75_10_2,2.511612949573839e-07
m_t0.5_7_10,2.559894074326515e-07
h1_n_b_l_t0.95_7_0,2.703594289371637e-07
self_10_8,2.704578291405775e-07
m_t0.5_11_0,2.7505636936785475e-07
h1_n_b_m_t0.25_11_5,2.8863146186729876e-07
h1_nb_11_5,2.8863146186729876e-07
h1_n_b_l_t0.95_11_5,2.8958566092625686e-07
h1_s_10_0,3.0860469669290115e-07
e_t0.1_11_10,3.3896437676154356e-07
e_t0.75_10_7,3.393012650280785e-07
b0_t0.025_10_11,3.406845377640056e-07
m_t0.025_11_1,3.5034505908774137e-07
v_t0.1_9_10,3.5271365758326945e-07
sep_7_4,3.8102940343893207e-07
h1_s_9_0,4.077796942224463e-07
k_t0.1_7_0,4.191208732544085e-07
c_t0.1_9_5,4.2419507768616544e-07
h1_n_b_l_t0.95_11_2,4.3746407316489233e-07
c_t0.5_10_6,4.4214956703922783e-07
v_t0.05_10_11,4.4828839671995006e-07
next_11_3,4.4882328020978296e-07
v_t0.5_10_6,4.967399232307251e-07
h0_t_d_10_8,5.120099021807789e-07
m_t0.5_9_10,5.130357646797872e-07
v_t0.5_10_10,5.458740114171403e-07
e_t0.25_10_1,6.001353761591184e-07
h1_v_11_9,6.27189577590723e-07
b1_t0.05_11_8,6.333499272559844e-07
h1_n_b_m_t0.25_11_10,6.68348901742549e-07
h1_n_b_l_t0.95_11_10,6.68348901742549e-07
h1_nb_11_10,6.68348901742549e-07
self_8_0,8.184300532031648e-07
v_t0.75_10_6,8.220235600557856e-07
h0_n_d_l_t0.25_9_10,8.485473754656839e-07
b0_t0.5_11_9,8.631509635871216e-07
c_t0.05_9_7,8.636303494695345e-07
c_t0.5_11_1,8.753879261257225e-07
b1_t0.5_11_1,8.753879261257225e-07
b1_t0.5_10_6,9.014786626256953e-07
e_t0.05_11_6,9.262764744972406e-07
v_t0.025_11_11,9.638149382865775e-07
e_t0.5_10_10,1.01095557514117e-06
m_t0.75_7_0,1.0408772866212079e-06
c_t0.25_8_0,1.096361434620993e-06
m_t0.75_9_10,1.1002451154226886e-06
c_t0.25_11_5,1.1502844523393152e-06
v_t0.025_10_4,1.257458908463876e-06
h1_v_10_0,1.2576400868400112e-06
m_t0.1_11_6,1.292482216184744e-06
prev_8_7,1.29509385191063e-06
v_t0.1_9_0,1.3394920051446099e-06
h1_s_6_10,1.3709956528466223e-06
c_t0.05_9_5,1.4052365155152435e-06
h1_v_9_0,1.4091861176407621e-06
s_t0.05_11_11,1.4194271281155044e-06
h0_n_d_m_t0.5_11_9,1.44903519733094e-06
c_t0.1_8_9,1.4568852092926704e-06
v_t0.5_10_11,1.4598976713526765e-06
b1_t0.25_10_4,1.4751844170492363e-06
