feature,p_value
v_t0.025_11_2,4.820029672090804e-06
v_t0.5_10_6,5.080053571726541e-06
b0_t0.5_9_6,5.122523462740841e-06
v_t0.75_8_8,5.439758786828942e-06
v_t0.25_8_1,5.494718144520555e-06
h1_v_9_3,5.599400253057574e-06
h1_n_b_l_t0.95_10_5,5.64691874173185e-06
v_t0.75_7_2,5.648782458711452e-06
v_t0.5_6_4,5.9512207414212825e-06
h1_s_9_9,6.361058394953821e-06
h1_v_9_11,6.484766437314652e-06
h0_t_d_10_0,7.161261389084116e-06
prev_10_8,7.544885259231419e-06
v_t0.025_7_9,7.888713080099972e-06
v_t0.1_5_0,8.6097692213121e-06
v_t0.25_10_2,8.884790880517052e-06
c_t0.1_8_0,8.986967502348768e-06
next_9_2,9.81045310244994e-06
c_t0.1_10_1,9.883574049447929e-06
v_t0.05_11_0,9.951231195263915e-06
self_8_0,1.0426546502833525e-05
h1_v_11_1,1.05851728262712e-05
v_t0.25_8_0,1.0785491913064064e-05
e_t0.5_9_4,1.084405058139671e-05
self_11_0,1.1273896210635896e-05
h0_n_d_l_t0.25_8_2,1.131053031353408e-05
c_t0.025_10_8,1.136457107738486e-05
v_t0.5_8_9,1.200115834404751e-05
h1_n_b_m_t0.25_9_9,1.2211422181578497e-05
h1_nb_9_9,1.2211422181578497e-05
c_t0.025_11_4,1.2687579007323512e-05
h1_nb_10_4,1.2730485097380823e-05
h1_n_b_m_t0.25_10_4,1.2730485097380823e-05
v_t0.1_11_8,1.34091086406794e-05
b0_t0.25_11_5,1.35518011210233e-05
v_t0.25_8_8,1.5946422824830063e-05
v_t0.1_8_4,1.6730520564710147e-05
v_t0.1_6_7,1.698557987646498e-05
next_7_11,1.752240525105566e-05
h1_v_8_1,1.7830429679361942e-05
v_t0.5_7_10,1.9746764622831387e-05
h1_t_b_7_7,1.97967110019054e-05
c_t0.025_10_4,1.9837976493419975e-05
prev_9_6,2.0099221636605944e-05
h0_n_d_m_t0.5_9_7,2.1289063035547643e-05
c_t0.025_11_2,2.402606114835166e-05
h1_s_10_4,2.446427531652025e-05
h1_t_b_11_1,2.5041427219601455e-05
v_t0.5_9_4,2.6008474440918253e-05
h0_n_d_m_t0.75_11_5,2.6661981093336703e-05
b0_t0.5_9_7,2.6936518895402856e-05
next_10_8,2.8026437860739148e-05
b1_t0.25_7_7,2.8345551270312016e-05
v_t0.25_5_11,2.8986593070160863e-05
h1_s_10_2,2.980986367063852e-05
self_8_11,2.983893313347926e-05
h1_n_b_m_t0.25_10_11,3.114703220900401e-05
h1_nb_10_11,3.114703220900401e-05
b0_t0.5_8_10,3.1742152172015774e-05
h1_e_10_5,3.1895504995802e-05
h1_t_b_10_11,3.224112340096836e-05
h1_v_9_2,3.235258694554147e-05
h1_t_b_9_9,3.301508814556379e-05
h1_s_10_11,3.3632413744627046e-05
h1_n_b_l_t0.70_11_4,3.520081857420633e-05
c_t0.025_9_6,3.5469202695953706e-05
h1_e_9_9,3.581312574023264e-05
h0_n_d_m_t0.5_8_10,3.6004591168220634e-05
h1_t_b_6_4,3.718580514682672e-05
v_t0.75_7_3,4.0939691840591166e-05
next_9_9,4.171265945698342e-05
h0_n_d_m_t0.5_11_0,4.203853515653944e-05
c_t0.025_8_11,4.238597211010079e-05
b0_t0.5_11_0,4.505869023714404e-05
self_9_6,4.819819472484172e-05
beginning_10_9,4.863159552862126e-05
h1_n_b_l_t0.95_10_4,4.890702825759556e-05
