,0
h0_n_d_m_t0.75_10_1,0.0020089238826276053
b1_t0.05_9_4,0.00201141916892212
dot_4_11,0.0020917376186683147
e_t0.75_7_0,0.0020921035072302475
s_t0.1_9_0,0.0021050357954216256
s_t0.05_9_1,0.002128196860964202
s_t0.05_9_2,0.0021297327023848517
prev_11_1,0.002173526938279494
beginning_7_8,0.00217550650587858
self_8_3,0.002192734365053502
k_t0.05_10_2,0.002201871912850006
v_t0.05_11_6,0.0022397073634295435
sep_9_10,0.002253636907349144
h1_v_10_6,0.0022732800638691542
beginning_8_7,0.002288458484977811
s_t0.1_7_8,0.0023118867771477433
c_t0.25_8_10,0.002372895345336476
prev_9_5,0.002400716912796317
v_t0.5_9_8,0.0024249339458452465
self_8_2,0.00245562725453181
c_t0.05_10_1,0.0024633939661813558
m_t0.75_9_5,0.0024674894174799705
k_t0.05_11_5,0.0025407504596217188
h1_s_10_6,0.0025893773510234598
m_t0.1_11_7,0.002591525746142961
m_t0.75_8_7,0.0025945181078157655
self_10_10,0.0025990587663613173
c_t0.1_11_11,0.0026018721537168867
m_t0.1_8_6,0.0026308765285817507
e_t0.5_9_4,0.0026363414626467086
h0_t_d_7_8,0.002641164816795588
v_t0.025_7_5,0.0026569199803458286
sep_8_4,0.0026718161825244
e_t0.75_7_2,0.002751743744974459
c_t0.75_7_2,0.0027615286187886814
b1_t0.75_7_2,0.0027615286187886814
s_t0.025_4_6,0.0027937150033368104
h0_t_d_11_11,0.0028176753589155496
b0_t0.25_7_0,0.002896418155352022
h0_n_d_m_t0.75_7_0,0.002896418155352022
b0_t0.75_10_3,0.002902965938554143
e_t0.1_10_1,0.0029158696399724923
h1_n_b_m_t0.25_9_1,0.0029234216874506986
h1_nb_9_1,0.0029234216874506986
h1_v_10_8,0.003016083108969879
e_t0.75_6_11,0.0030214131197102705
c_t0.75_6_11,0.0030214131197102705
b1_t0.75_6_11,0.0030214131197102705
h1_n_b_l_t0.95_9_1,0.003039248325994438
v_t0.75_6_11,0.0030675629562403922
h1_n_b_l_t0.95_1_0,0.0030767300879118754
h0_n_d_l_t0.25_8_7,0.0030862687797407608
h1_n_b_m_t0.25_1_0,0.003109725766395833
h1_nb_1_0,0.003109725766395833
b1_t0.1_8_10,0.0032210223336367194
h1_t_b_7_1,0.003231392038009328
h1_s_11_11,0.0032458681227026296
sep_7_4,0.0033618422222971038
m_t0.75_7_9,0.003372822370750974
c_t0.1_1_2,0.003380138348251632
h0_n_d_l_t0.25_7_9,0.0034009972609534925
h1_n_b_l_t0.70_8_3,0.0034014135009052715
prev_9_1,0.0034206334236496286
c_t0.1_10_5,0.003439390224326374
c_t0.05_10_2,0.0034614125204600905
c_t0.75_9_10,0.003480965247654741
b1_t0.75_9_10,0.003480965247654741
dot_3_7,0.0036297464572471756
h1_e_1_0,0.0036472096590817525
h0_n_d_m_t0.75_7_8,0.0036645057229415063
h1_n_b_m_t0.25_9_11,0.0036883916762598186
h1_nb_9_11,0.0036883916762598186
v_t0.25_3_7,0.003836759830336061
c_t0.25_9_6,0.0038707196679588825
m_t0.5_11_4,0.0038909467218024934
c_t0.75_10_7,0.003957515106311333
b1_t0.75_10_7,0.003957515106311333
dot_9_0,0.003965303298660944
h1_t_b_8_3,0.004037923877546982
h1_e_9_1,0.004083666588026551
h1_n_b_m_t0.25_11_0,0.004085037075673571
h1_nb_11_0,0.004085037075673571
v_t0.05_4_9,0.0041117901479684115
c_t0.025_9_2,0.004127561409941306
h0_s_10_1,0.004140151219789205
b1_t0.025_11_9,0.004161540966052356
dot_11_6,0.004163294875644228
h1_n_b_l_t0.95_11_0,0.004171756159304418
self_10_3,0.00420678975069677
v_t0.75_7_2,0.004217086310286647
v_t0.05_3_7,0.004250762873312575
prev_8_0,0.004254584130235442
b0_t0.25_7_8,0.004278776446236359
s_t0.05_7_0,0.0043222522453058715
c_t0.75_7_9,0.004340936486312809
b1_t0.75_7_9,0.004340936486312809
b0_t0.05_6_0,0.004355591110757249
v_t0.5_8_1,0.004401719186769779
e_t0.025_11_8,0.004406897332999109
b0_t0.05_3_4,0.004412471617115082
b0_t0.1_7_3,0.004412471617115082
c_t0.5_6_0,0.004425713960266132
b1_t0.5_6_0,0.004425713960266132
c_t0.75_9_8,0.004429343061153898
b1_t0.75_9_8,0.004429343061153898
dot_10_3,0.004461614999555378
next_11_11,0.004476101795523875
e_t0.25_0_11,0.004490000323622061
c_t0.5_10_1,0.004504422774762807
b1_t0.5_10_1,0.004504422774762807
v_t0.25_10_3,0.004506615376237931
m_t0.25_11_0,0.00450754784213038
c_t0.75_9_6,0.004536390755172014
b1_t0.75_9_6,0.004536390755172014
c_t0.1_10_2,0.004551568710568978
h0_t_d_3_3,0.004578884297196157
k_t0.25_8_0,0.0047146896874563395
s_t0.05_10_3,0.00472405681864323
v_t0.05_10_2,0.004763443899866916
next_10_0,0.004840542033842816
b1_t0.05_11_9,0.004898207648029369
c_t0.05_7_5,0.004914387280287775
h0_t_d_7_4,0.004918311909249113
k_t0.25_8_6,0.0049204356109828155
c_t0.025_11_6,0.004923372063623305
m_t0.75_2_0,0.004979182697688275
k_t0.25_7_1,0.004990301927048019
b0_t0.1_10_8,0.004996382947657138
e_t0.75_2_0,0.005052285802210531
h0_n_d_l_t0.25_2_0,0.005052285802210531
v_t0.025_10_2,0.005054673060526842
h1_e_9_11,0.0050575709564650495
v_t0.75_2_0,0.0050905189909863004
self_7_0,0.005149985649186855
b0_t0.05_11_5,0.0051544298075869455
h0_t_d_11_9,0.00531623214919709
b1_t0.05_9_7,0.005363687239238501
h0_t_d_10_11,0.00538294848852017
h1_t_b_10_4,0.005474367712160812
h1_v_11_11,0.00551546717280374
v_t0.1_10_11,0.0055216855191322165
v_t0.25_7_8,0.005551361634793461
e_t0.75_9_10,0.005592898319817331
e_t0.1_11_5,0.005606019287450299
s_t0.05_11_0,0.005791877757008891
h0_n_d_l_t0.25_10_8,0.005868117595814312
next_0_8,0.0058860039360563955
c_t0.1_8_2,0.005892955241463001
s_t0.1_9_8,0.005969871137151584
